mod10,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_User,E_Solar,E_Grid,EFrGrid,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,kWh,kWh,kWh,
January,23.0,14.61,5.33,41.5,40.3,164.6,1538,155.4,0.0,1383,
February,39.4,23.45,5.23,60.6,58.9,240.0,1545,228.4,0.0,1317,
March,81.6,44.54,6.75,109.5,106.2,429.3,1437,394.4,16.9,1043,
April,125.7,60.76,8.82,143.8,139.4,556.4,1290,485.8,48.4,804,
May,158.5,68.42,11.74,166.0,160.8,632.2,1083,469.5,136.9,614,
June,167.6,87.93,14.37,166.2,160.6,628.8,896,454.2,148.8,442,
July,159.8,82.81,16.24,159.8,154.5,601.2,763,389.9,186.2,373,
August,127.7,74.65,15.96,136.4,131.7,515.9,783,365.1,128.9,418,
September,92.8,53.76,14.02,113.9,110.4,435.4,921,343.4,73.3,578,
October,53.5,28.67,11.53,79.0,76.7,304.8,1097,258.2,32.2,839,
November,26.5,17.94,8.18,44.3,42.8,173.3,1336,162.4,0.9,1174,
December,18.5,12.38,6.16,35.3,34.1,139.3,1479,130.7,0.0,1348,
Year,1074.5,569.92,10.39,1256.3,1216.5,4821.3,14169,3837.3,772.4,10331,
