mod12,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,234.5,1903,0.0,0.123,0.902,
February,274.2,1754,0.0,0.156,0.894,
March,512.3,1370,38.8,0.346,0.882,
April,604.8,1065,118.0,0.457,0.867,
May,719.0,707,313.9,0.573,0.846,
June,764.1,686,360.4,0.589,0.827,
July,800.7,731,383.2,0.571,0.814,
August,698.6,686,315.2,0.559,0.822,
September,527.0,686,213.9,0.456,0.843,
October,351.6,1016,41.4,0.305,0.866,
November,219.0,1481,0.0,0.148,0.879,
December,174.8,1845,0.0,0.095,0.892,
Year,5880.6,13930,1784.8,0.294,0.849,
