mod12,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,187.6,1538,1.0,0.121,0.896,
February,275.3,1545,2.8,0.176,0.902,
March,495.0,1437,50.3,0.309,0.897,
April,642.4,1290,103.9,0.417,0.886,
May,729.3,1083,224.5,0.466,0.872,
June,725.3,896,241.0,0.541,0.866,
July,693.1,763,279.1,0.543,0.861,
August,594.6,783,200.1,0.504,0.865,
September,501.7,921,126.2,0.408,0.874,
October,349.9,1097,63.6,0.261,0.878,
November,197.2,1336,5.9,0.143,0.884,
December,158.0,1479,0.0,0.107,0.887,
Year,5549.4,14169,1298.5,0.300,0.876,
