mod10,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,155.4,1538,0.0,0.101,0.891,
February,228.4,1545,0.0,0.148,0.898,
March,411.3,1437,16.9,0.274,0.895,
April,534.2,1290,48.4,0.377,0.884,
May,606.4,1083,136.9,0.434,0.870,
June,603.0,896,148.8,0.507,0.864,
July,576.0,763,186.2,0.511,0.859,
August,494.0,783,128.9,0.466,0.862,
September,416.8,921,73.3,0.373,0.871,
October,290.4,1097,32.2,0.235,0.875,
November,163.3,1336,0.9,0.122,0.878,
December,130.7,1479,0.0,0.088,0.881,
Year,4609.8,14169,772.4,0.271,0.874,
